日付,通貨名,始値,高値,安値,終値,平均値
2018/02/17,btc_jpy,1072145.00000000,1166000.00000000,1062000.00000000,1138120.00000000,1116465.63792586
2018/02/18,btc_jpy,1138120.00000000,1231000.00000000,1098000.00000000,1163115.00000000,1160910.24149092
2018/02/19,btc_jpy,1163140.00000000,1182000.00000000,1112260.00000000,1174000.00000000,1155912.06408264
2018/02/20,btc_jpy,1174350.00000000,1250000.00000000,1170100.00000000,1238145.00000000,1217490.22165845
2018/02/21,btc_jpy,1237800.00000000,1278000.00000000,1135000.00000000,1161000.00000000,1207393.53649802
2018/02/22,btc_jpy,1160000.00000000,1189400.00000000,628000.00000000,1028995.00000000,1117514.15102969
2018/02/23,btc_jpy,1028995.00000000,1135000.00000000,1018150.00000000,1119900.00000000,1069953.04522954
2018/02/24,btc_jpy,1119895.00000000,1129500.00000000,1035000.00000000,1057110.00000000,1088334.89385091
2018/02/25,btc_jpy,1058000.00000000,1067000.00000000,1000000.00000000,1002045.00000000,1038482.51425357
2018/02/26,btc_jpy,1001210.00000000,1110000.00000000,916000.00000000,1088580.00000000,1027139.02750218
2018/02/27,btc_jpy,1088630.00000000,1160000.00000000,1081000.00000000,1144760.00000000,1113420.45031950
2018/02/28,btc_jpy,1144580.00000000,1185000.00000000,1118250.00000000,1128100.00000000,1144472.95550253
2018/03/01,btc_jpy,1128100.00000000,1154900.00000000,1090200.00000000,1151205.00000000,1125779.90185441
2018/03/02,btc_jpy,1150435.00000000,1185990.00000000,1141500.00000000,1145130.00000000,1165646.21649238
2018/03/03,btc_jpy,1146000.00000000,1213000.00000000,1145905.00000000,1208000.00000000,1186900.09080719
2018/03/04,btc_jpy,1208380.00000000,1218900.00000000,1174440.00000000,1176000.00000000,1195096.03790491
2018/03/05,btc_jpy,1176000.00000000,1225200.00000000,1170095.00000000,1218500.00000000,1206909.74564773
2018/03/06,btc_jpy,1218495.00000000,1246800.00000000,1151010.00000000,1179845.00000000,1203278.52264648
2018/03/07,btc_jpy,1179000.00000000,1182960.00000000,1100000.00000000,1131995.00000000,1142223.76848638
2018/03/08,btc_jpy,1131990.00000000,1137865.00000000,951000.00000000,1044825.00000000,1056075.06758999
2018/03/09,btc_jpy,1044550.00000000,1063875.00000000,901000.00000000,997305.00000000,972793.24848712
2018/03/10,btc_jpy,998000.00000000,1019885.00000000,933135.00000000,1011005.00000000,993038.31504937
2018/03/11,btc_jpy,1011005.00000000,1017595.00000000,918880.00000000,987655.00000000,960425.33386001
2018/03/12,btc_jpy,988500.00000000,1064900.00000000,970000.00000000,1003000.00000000,1029609.43422229
2018/03/13,btc_jpy,1002800.00000000,1020000.00000000,944600.00000000,980000.00000000,987735.98371690
2018/03/14,btc_jpy,980000.00000000,1006500.00000000,930000.00000000,947410.00000000,976931.10732966
2018/03/15,btc_jpy,947410.00000000,947625.00000000,822000.00000000,892695.00000000,878321.30859300
2018/03/16,btc_jpy,892695.00000000,919000.00000000,851410.00000000,904300.00000000,878086.04501063
2018/03/17,btc_jpy,904000.00000000,918820.00000000,855965.00000000,860280.00000000,888850.29881170
2018/03/18,btc_jpy,860845.00000000,864100.00000000,791000.00000000,803995.00000000,832014.14008914
2018/03/19,btc_jpy,803990.00000000,938900.00000000,785000.00000000,922400.00000000,870004.15748189
2018/03/20,btc_jpy,922500.00000000,934675.00000000,894000.00000000,919310.00000000,918848.32197947
2018/03/21,btc_jpy,919310.00000000,985005.00000000,918000.00000000,971050.00000000,965438.37961413
2018/03/22,btc_jpy,971295.00000000,982000.00000000,900010.00000000,903000.00000000,951727.96970927
2018/03/23,btc_jpy,903000.00000000,929000.00000000,860000.00000000,907800.00000000,901517.68465809
2018/03/24,btc_jpy,907000.00000000,947000.00000000,905170.00000000,940990.00000000,928083.64699481
2018/03/25,btc_jpy,940500.00000000,942400.00000000,889000.00000000,904470.00000000,910873.24492133
2018/03/26,btc_jpy,904375.00000000,915000.00000000,851700.00000000,859560.00000000,888168.70303365
2018/03/27,btc_jpy,859985.00000000,874445.00000000,822000.00000000,855470.00000000,847914.74143038
2018/03/28,btc_jpy,855470.00000000,864420.00000000,825000.00000000,843000.00000000,844786.89417790
2018/03/29,btc_jpy,842875.00000000,857825.00000000,781050.00000000,788995.00000000,826623.42114815
2018/03/30,btc_jpy,788995.00000000,809500.00000000,701000.00000000,729000.00000000,749652.79825243
2018/03/31,btc_jpy,729000.00000000,768540.00000000,708000.00000000,753245.00000000,740378.78815022
2018/04/01,btc_jpy,753245.00000000,765500.00000000,687535.00000000,696005.00000000,737962.23543844
2018/04/02,btc_jpy,696500.00000000,763000.00000000,685520.00000000,742790.00000000,739001.26052119
2018/04/03,btc_jpy,742790.00000000,797000.00000000,739010.00000000,789100.00000000,769550.94749445
2018/04/04,btc_jpy,789000.00000000,809995.00000000,730000.00000000,734980.00000000,779141.71520114
2018/04/05,btc_jpy,734990.00000000,746995.00000000,705000.00000000,730000.00000000,730272.90279737
2018/04/06,btc_jpy,730000.00000000,739995.00000000,705000.00000000,711410.00000000,723302.06970828
2018/04/07,btc_jpy,711410.00000000,738750.00000000,703070.00000000,732800.00000000,724426.46018132
2018/04/08,btc_jpy,732805.00000000,762000.00000000,731910.00000000,750715.00000000,745845.59866647
2018/04/09,btc_jpy,751390.00000000,772000.00000000,720050.00000000,726800.00000000,751111.51521171
2018/04/10,btc_jpy,727200.00000000,732000.00000000,710000.00000000,726150.00000000,724038.18569206
2018/04/11,btc_jpy,726150.00000000,743900.00000000,726150.00000000,739525.00000000,734141.24427863
2018/04/12,btc_jpy,739525.00000000,830000.00000000,726805.00000000,816995.00000000,763155.70892804
2018/04/13,btc_jpy,817010.00000000,892000.00000000,803555.00000000,875610.00000000,850056.21139911
2018/04/14,btc_jpy,875270.00000000,880000.00000000,834000.00000000,859460.00000000,860738.90622010
2018/04/15,btc_jpy,859460.00000000,898900.00000000,850640.00000000,892800.00000000,871204.63291410
2018/04/16,btc_jpy,892590.00000000,910515.00000000,850560.00000000,860815.00000000,880808.60940465
2018/04/17,btc_jpy,861000.00000000,875000.00000000,851000.00000000,867900.00000000,864074.80524264
2018/04/18,btc_jpy,867870.00000000,875000.00000000,837600.00000000,856005.00000000,858401.88206838
2018/04/19,btc_jpy,856005.00000000,886600.00000000,855550.00000000,883625.00000000,876403.98069290
