日付,通貨名,始値,高値,安値,終値,平均値
2018/03/19,mona_jpy,334.00000000,450.00000000,308.00000000,438.20000000,386.17845256
2018/03/20,mona_jpy,440.00000000,449.80000000,406.10000000,418.90000000,428.00574019
2018/03/21,mona_jpy,419.00000000,444.90000000,413.30000000,426.20000000,433.58287519
2018/03/22,mona_jpy,426.30000000,430.00000000,390.00000000,390.20000000,414.72012615
2018/03/23,mona_jpy,390.20000000,409.90000000,375.70000000,399.60000000,392.26663226
2018/03/24,mona_jpy,396.30000000,410.00000000,388.00000000,399.90000000,398.93053331
2018/03/25,mona_jpy,400.70000000,401.00000000,383.00000000,388.30000000,389.28921254
2018/03/26,mona_jpy,388.30000000,390.00000000,361.10000000,375.90000000,381.17948665
2018/03/27,mona_jpy,376.10000000,382.50000000,350.00000000,369.60000000,366.53883357
2018/03/28,mona_jpy,370.70000000,378.90000000,350.10000000,368.70000000,365.60313510
2018/03/29,mona_jpy,368.30000000,373.00000000,333.00000000,337.00000000,356.89749610
2018/03/30,mona_jpy,337.00000000,369.90000000,309.10000000,327.20000000,332.98411642
2018/03/31,mona_jpy,327.20000000,354.60000000,321.00000000,336.00000000,337.52112507
2018/04/01,mona_jpy,337.00000000,342.70000000,312.00000000,320.00000000,327.28265412
2018/04/02,mona_jpy,312.40000000,359.00000000,311.00000000,340.10000000,333.66781486
2018/04/03,mona_jpy,340.20000000,398.20000000,336.30000000,378.60000000,372.78274725
2018/04/04,mona_jpy,378.60000000,389.90000000,338.50000000,344.10000000,363.42472741
2018/04/05,mona_jpy,344.90000000,361.90000000,331.00000000,349.70000000,344.20541779
2018/04/06,mona_jpy,349.00000000,357.40000000,344.00000000,352.70000000,350.20180871
2018/04/07,mona_jpy,354.40000000,360.00000000,346.00000000,350.70000000,350.89146996
2018/04/08,mona_jpy,352.00000000,354.50000000,348.50000000,351.90000000,351.26249153
2018/04/09,mona_jpy,350.70000000,364.90000000,346.00000000,348.10000000,353.47754279
2018/04/10,mona_jpy,348.00000000,354.10000000,340.50000000,353.00000000,346.95403757
2018/04/11,mona_jpy,352.20000000,359.80000000,348.70000000,356.50000000,353.44569720
2018/04/12,mona_jpy,355.20000000,375.50000000,348.00000000,368.50000000,361.29064083
2018/04/13,mona_jpy,368.50000000,430.00000000,363.00000000,396.10000000,392.11538016
2018/04/14,mona_jpy,397.00000000,414.70000000,376.00000000,383.30000000,389.73166324
2018/04/15,mona_jpy,383.30000000,401.00000000,381.10000000,393.00000000,390.52167635
2018/04/16,mona_jpy,394.00000000,408.90000000,378.80000000,382.00000000,395.04180884
2018/04/17,mona_jpy,382.20000000,390.00000000,360.60000000,380.10000000,375.55738820
2018/04/18,mona_jpy,380.40000000,404.50000000,371.40000000,394.00000000,388.36738525
2018/04/19,mona_jpy,396.00000000,441.20000000,390.00000000,422.50000000,415.26239304
2018/04/20,mona_jpy,421.00000000,468.00000000,417.20000000,447.30000000,437.13530821
2018/04/21,mona_jpy,447.50000000,458.00000000,408.00000000,423.20000000,436.66049792
2018/04/22,mona_jpy,423.20000000,444.00000000,423.10000000,440.00000000,432.22417920
2018/04/23,mona_jpy,438.50000000,441.30000000,430.00000000,437.00000000,436.22650741
2018/04/24,mona_jpy,437.00000000,454.60000000,434.20000000,448.00000000,446.60931406
2018/04/25,mona_jpy,445.50000000,510.00000000,433.70000000,461.00000000,474.96950906
2018/04/26,mona_jpy,461.00000000,588.00000000,460.00000000,553.00000000,529.62077173
2018/04/27,mona_jpy,550.00000000,649.30000000,541.30000000,610.00000000,606.65906146
2018/04/28,mona_jpy,609.40000000,638.00000000,565.00000000,589.90000000,599.27300493
2018/04/29,mona_jpy,588.00000000,611.00000000,550.00000000,562.00000000,582.25786208
2018/04/30,mona_jpy,563.00000000,598.00000000,562.00000000,570.00000000,575.06649199
2018/05/01,mona_jpy,570.10000000,586.20000000,535.00000000,544.80000000,555.72514092
2018/05/02,mona_jpy,544.90000000,579.90000000,544.00000000,563.00000000,564.41483597
2018/05/03,mona_jpy,563.00000000,575.00000000,561.10000000,570.90000000,568.62051812
2018/05/04,mona_jpy,571.00000000,578.00000000,561.10000000,563.00000000,569.50028320
2018/05/05,mona_jpy,563.00000000,572.00000000,560.00000000,567.60000000,565.05907687
2018/05/06,mona_jpy,567.50000000,570.00000000,531.30000000,534.40000000,555.00815461
2018/05/07,mona_jpy,532.80000000,544.00000000,477.00000000,484.00000000,501.86616331
2018/05/08,mona_jpy,484.20000000,544.00000000,483.40000000,497.90000000,511.03990573
2018/05/09,mona_jpy,498.00000000,513.00000000,468.60000000,494.60000000,492.12657441
2018/05/10,mona_jpy,497.00000000,510.00000000,485.20000000,489.30000000,496.01408901
2018/05/11,mona_jpy,489.00000000,498.30000000,416.00000000,440.00000000,457.79123227
2018/05/12,mona_jpy,440.00000000,458.00000000,410.20000000,441.90000000,433.06472174
2018/05/13,mona_jpy,440.00000000,450.00000000,426.50000000,444.90000000,437.78732265
2018/05/14,mona_jpy,444.00000000,475.00000000,436.50000000,459.00000000,453.77862713
2018/05/15,mona_jpy,458.00000000,469.40000000,442.60000000,445.90000000,453.46502354
2018/05/16,mona_jpy,445.00000000,450.60000000,413.00000000,419.00000000,427.77159851
2018/05/17,mona_jpy,418.00000000,423.60000000,403.30000000,411.10000000,416.57159005
2018/05/18,mona_jpy,411.10000000,440.00000000,365.20000000,403.00000000,395.59396027
2018/05/19,mona_jpy,403.00000000,417.60000000,381.20000000,405.00000000,404.19490623
2018/05/20,mona_jpy,405.00000000,408.40000000,395.00000000,399.60000000,400.53340070
2018/05/21,mona_jpy,400.00000000,410.00000000,396.00000000,399.20000000,404.04751417
2018/05/22,mona_jpy,398.70000000,402.00000000,383.40000000,386.30000000,391.16746626
2018/05/23,mona_jpy,386.20000000,399.90000000,370.00000000,378.00000000,380.40887522
2018/05/24,mona_jpy,379.20000000,387.80000000,363.50000000,370.70000000,372.38307493
2018/05/25,mona_jpy,371.00000000,383.40000000,366.10000000,371.00000000,374.38708642
2018/05/26,mona_jpy,373.50000000,377.00000000,366.20000000,376.40000000,371.82796008
2018/05/27,mona_jpy,376.30000000,376.40000000,368.00000000,374.20000000,372.03636726
2018/05/28,mona_jpy,374.50000000,389.70000000,371.00000000,378.80000000,379.32144535
2018/05/29,mona_jpy,378.30000000,385.40000000,366.20000000,372.20000000,373.23671466
2018/05/30,mona_jpy,372.20000000,375.00000000,367.00000000,369.50000000,370.94407412
2018/05/31,mona_jpy,368.70000000,370.90000000,360.10000000,367.20000000,365.81582644
2018/06/01,mona_jpy,367.20000000,370.00000000,365.20000000,366.00000000,367.99006675
2018/06/02,mona_jpy,367.00000000,375.20000000,365.00000000,373.00000000,370.40853260
2018/06/03,mona_jpy,373.00000000,377.00000000,369.10000000,375.70000000,373.21844885
2018/06/04,mona_jpy,377.00000000,384.00000000,363.60000000,364.90000000,373.53489840
2018/06/05,mona_jpy,364.80000000,370.00000000,361.10000000,362.00000000,364.79468638
2018/06/06,mona_jpy,362.00000000,368.80000000,361.30000000,363.70000000,365.16908662
2018/06/07,mona_jpy,363.80000000,368.50000000,362.00000000,364.00000000,365.28116365
2018/06/08,mona_jpy,364.00000000,366.70000000,360.30000000,362.10000000,363.22973789
2018/06/09,mona_jpy,361.30000000,364.90000000,360.00000000,361.60000000,361.87199923
2018/06/10,mona_jpy,361.60000000,362.40000000,336.00000000,346.00000000,348.87384028
2018/06/11,mona_jpy,345.00000000,346.10000000,316.00000000,327.20000000,330.47754286
2018/06/12,mona_jpy,326.50000000,339.60000000,315.00000000,326.50000000,326.82946231
2018/06/13,mona_jpy,327.00000000,328.00000000,300.00000000,301.90000000,311.06732702
2018/06/14,mona_jpy,302.00000000,312.80000000,288.00000000,300.90000000,299.01472970
2018/06/15,mona_jpy,300.80000000,311.50000000,296.80000000,304.30000000,306.51106785
2018/06/16,mona_jpy,302.50000000,306.00000000,295.00000000,300.10000000,299.84514062
2018/06/17,mona_jpy,298.30000000,304.70000000,293.00000000,295.10000000,299.09692735
2018/06/18,mona_jpy,295.10000000,300.00000000,290.00000000,291.40000000,292.99005312
2018/06/19,mona_jpy,291.40000000,302.00000000,290.00000000,299.20000000,293.49655578
2018/06/20,mona_jpy,297.30000000,300.00000000,292.10000000,296.30000000,295.08674718
2018/06/21,mona_jpy,296.10000000,298.90000000,290.10000000,293.00000000,295.21891691
2018/06/22,mona_jpy,292.80000000,292.80000000,260.10000000,260.10000000,276.89640775
2018/06/23,mona_jpy,261.00000000,271.50000000,250.40000000,255.80000000,260.60800796
2018/06/24,mona_jpy,255.20000000,257.90000000,222.40000000,228.60000000,238.91911955
2018/06/25,mona_jpy,228.00000000,248.80000000,222.00000000,240.60000000,237.27290182
2018/06/26,mona_jpy,241.00000000,249.00000000,235.00000000,244.60000000,241.47151904
2018/06/27,mona_jpy,243.40000000,243.90000000,225.00000000,233.00000000,234.72282819
2018/06/28,mona_jpy,233.00000000,237.00000000,225.00000000,227.90000000,230.54544479
2018/06/29,mona_jpy,228.90000000,229.90000000,211.00000000,218.10000000,219.08784972
2018/06/30,mona_jpy,220.00000000,249.00000000,214.40000000,237.20000000,236.21407478
2018/07/01,mona_jpy,236.00000000,239.00000000,230.00000000,230.00000000,233.30790100
2018/07/02,mona_jpy,230.00000000,253.00000000,225.90000000,246.50000000,237.31061236
2018/07/03,mona_jpy,246.70000000,294.00000000,245.10000000,275.10000000,268.44955734
2018/07/04,mona_jpy,274.90000000,283.30000000,257.00000000,275.00000000,270.38216569
2018/07/05,mona_jpy,272.40000000,277.90000000,268.00000000,271.00000000,272.24007111
2018/07/06,mona_jpy,271.90000000,271.90000000,251.60000000,251.60000000,261.59721381
2018/07/07,mona_jpy,251.40000000,264.80000000,251.40000000,255.40000000,257.77981387
2018/07/08,mona_jpy,255.40000000,263.00000000,251.10000000,257.90000000,258.94055442
2018/07/09,mona_jpy,257.30000000,260.00000000,250.00000000,254.30000000,254.78867701
2018/07/10,mona_jpy,255.40000000,256.50000000,233.90000000,235.70000000,244.70435859
2018/07/11,mona_jpy,235.90000000,240.40000000,231.00000000,236.10000000,235.63051638
2018/07/12,mona_jpy,236.10000000,239.00000000,230.20000000,230.60000000,234.45570158
2018/07/13,mona_jpy,230.90000000,239.80000000,222.50000000,233.50000000,231.84822397
