日付,通貨名,始値,高値,安値,終値,平均値
2018/01/24,eth_jpy,106905.00000000,125030.00000000,105410.00000000,115800.00000000,113994.14385244
2018/01/25,eth_jpy,115800.00000000,122150.00000000,111000.00000000,116940.00000000,117870.80937792
2018/01/26,eth_jpy,116930.00000000,119790.00000000,102000.00000000,107200.00000000,109318.19529377
2018/01/27,eth_jpy,107180.00000000,116000.00000000,105910.00000000,113685.00000000,111521.51035257
2018/01/28,eth_jpy,113685.00000000,138000.00000000,113300.00000000,132300.00000000,127163.67471238
2018/01/29,eth_jpy,132300.00000000,136000.00000000,126800.00000000,128710.00000000,130176.51343875
2018/01/30,eth_jpy,128695.00000000,129990.00000000,120500.00000000,123480.00000000,124894.92959274
2018/01/31,eth_jpy,123480.00000000,123990.00000000,107000.00000000,118025.00000000,116510.78807677
2018/02/01,eth_jpy,118025.00000000,126795.00000000,115005.00000000,118000.00000000,121703.00040466
2018/02/02,eth_jpy,118690.00000000,119990.00000000,80010.00000000,95000.00000000,99666.52200180
2018/02/03,eth_jpy,94500.00000000,109000.00000000,91200.00000000,107230.00000000,99654.65829300
2018/02/04,eth_jpy,107445.00000000,107985.00000000,92500.00000000,94180.00000000,100596.89471644
2018/02/05,eth_jpy,94180.00000000,95210.00000000,80105.00000000,80305.00000000,88409.54795422
2018/02/06,eth_jpy,80315.00000000,83400.00000000,65020.00000000,79500.00000000,72829.53823671
2018/02/07,eth_jpy,79500.00000000,94000.00000000,73550.00000000,89890.00000000,85354.60682733
2018/02/08,eth_jpy,89800.00000000,93800.00000000,82200.00000000,90650.00000000,89566.45517486
2018/02/09,eth_jpy,90505.00000000,93450.00000000,86620.00000000,93410.00000000,89353.93446041
2018/02/10,eth_jpy,93000.00000000,101250.00000000,92500.00000000,97290.00000000,97578.89604881
2018/02/11,eth_jpy,97290.00000000,97290.00000000,85500.00000000,93505.00000000,90825.87912916
2018/02/12,eth_jpy,93500.00000000,95500.00000000,89730.00000000,92535.00000000,92428.32491509
2018/02/13,eth_jpy,92500.00000000,95880.00000000,90035.00000000,92800.00000000,93035.35860480
2018/02/14,eth_jpy,92800.00000000,96875.00000000,91000.00000000,95500.00000000,93789.22048164
2018/02/15,eth_jpy,95600.00000000,102540.00000000,95500.00000000,100600.00000000,99650.80554142
2018/02/16,eth_jpy,100750.00000000,103000.00000000,98560.00000000,100370.00000000,100375.37497753
2018/02/17,eth_jpy,100395.00000000,105000.00000000,99450.00000000,103460.00000000,102425.84160491
2018/02/18,eth_jpy,103400.00000000,106995.00000000,99100.00000000,102500.00000000,102743.34859021
2018/02/19,eth_jpy,102260.00000000,102715.00000000,98720.00000000,101955.00000000,100990.70804963
2018/02/20,eth_jpy,101840.00000000,103910.00000000,100410.00000000,101555.00000000,101924.04434538
2018/02/21,eth_jpy,101500.00000000,101710.00000000,93050.00000000,93410.00000000,97753.04911934
2018/02/22,eth_jpy,93795.00000000,95000.00000000,88000.00000000,88000.00000000,91639.97818727
2018/02/23,eth_jpy,88000.00000000,95050.00000000,85000.00000000,94290.00000000,89807.87858567
2018/02/24,eth_jpy,94290.00000000,94990.00000000,90000.00000000,90400.00000000,91702.95089417
2018/02/25,eth_jpy,90400.00000000,91335.00000000,88000.00000000,88190.00000000,89749.05973952
2018/02/26,eth_jpy,88180.00000000,93450.00000000,87000.00000000,93000.00000000,91002.01073859
2018/02/27,eth_jpy,93050.00000000,96120.00000000,92260.00000000,94635.00000000,94149.57866678
2018/02/28,eth_jpy,94630.00000000,95790.00000000,92750.00000000,93695.00000000,94438.99355484
2018/03/01,eth_jpy,93535.00000000,93600.00000000,91250.00000000,92995.00000000,92621.70897740
2018/03/02,eth_jpy,92925.00000000,93450.00000000,90895.00000000,90900.00000000,92578.62669985
2018/03/03,eth_jpy,90900.00000000,92900.00000000,90750.00000000,91395.00000000,91461.34860340
2018/03/04,eth_jpy,91395.00000000,91415.00000000,89215.00000000,90575.00000000,90537.51374222
2018/03/05,eth_jpy,90590.00000000,92335.00000000,90100.00000000,92000.00000000,91619.44996414
2018/03/06,eth_jpy,91955.00000000,92050.00000000,88120.00000000,89500.00000000,90361.52729859
2018/03/07,eth_jpy,89500.00000000,89700.00000000,83000.00000000,83800.00000000,86224.15687197
2018/03/08,eth_jpy,84005.00000000,84500.00000000,78800.00000000,80035.00000000,80808.38685405
2018/03/09,eth_jpy,80010.00000000,80880.00000000,70000.00000000,77115.00000000,74208.65132555
2018/03/10,eth_jpy,77300.00000000,80900.00000000,73895.00000000,79025.00000000,78171.25547864
2018/03/11,eth_jpy,79000.00000000,79800.00000000,72180.00000000,76200.00000000,74992.46838284
2018/03/12,eth_jpy,76200.00000000,79995.00000000,75570.00000000,77200.00000000,78185.05375307
2018/03/13,eth_jpy,77200.00000000,77500.00000000,73520.00000000,74800.00000000,75602.44569274
2018/03/14,eth_jpy,74800.00000000,77100.00000000,71100.00000000,71810.00000000,74175.95275490
2018/03/15,eth_jpy,71810.00000000,71845.00000000,62190.00000000,66510.00000000,65870.63878553
2018/03/16,eth_jpy,66500.00000000,66835.00000000,63400.00000000,65895.00000000,65067.57371340
2018/03/17,eth_jpy,65895.00000000,67060.00000000,63000.00000000,63000.00000000,64900.23291897
2018/03/18,eth_jpy,63000.00000000,63015.00000000,50100.00000000,51300.00000000,57209.43161748
2018/03/19,eth_jpy,51500.00000000,61900.00000000,49200.00000000,59700.00000000,57184.59407645
2018/03/20,eth_jpy,59700.00000000,61000.00000000,56390.00000000,57815.00000000,58896.46862247
2018/03/21,eth_jpy,57810.00000000,64900.00000000,57805.00000000,62000.00000000,61572.34087351
2018/03/22,eth_jpy,62000.00000000,62600.00000000,56000.00000000,56000.00000000,59769.36723615
2018/03/23,eth_jpy,56000.00000000,57995.00000000,54000.00000000,55610.00000000,55517.97264390
2018/03/24,eth_jpy,55900.00000000,57995.00000000,55250.00000000,57200.00000000,56619.79873743
2018/03/25,eth_jpy,56505.00000000,57000.00000000,54600.00000000,55065.00000000,55412.10257498
2018/03/26,eth_jpy,55080.00000000,57485.00000000,51000.00000000,52000.00000000,54521.14945310
2018/03/27,eth_jpy,51775.00000000,53175.00000000,48300.00000000,49605.00000000,49923.97619816
2018/03/28,eth_jpy,49605.00000000,50480.00000000,47100.00000000,48255.00000000,48467.81479005
2018/03/29,eth_jpy,48365.00000000,48665.00000000,42500.00000000,43000.00000000,45971.28563497
2018/03/30,eth_jpy,42850.00000000,44895.00000000,39000.00000000,40595.00000000,41363.48980205
2018/03/31,eth_jpy,40500.00000000,44945.00000000,39950.00000000,43090.00000000,42637.94725466
2018/04/01,eth_jpy,43090.00000000,43995.00000000,39015.00000000,39300.00000000,41484.69644518
2018/04/02,eth_jpy,39300.00000000,42495.00000000,38505.00000000,41205.00000000,40988.07586589
2018/04/03,eth_jpy,41400.00000000,43770.00000000,40400.00000000,43440.00000000,42143.38563455
2018/04/04,eth_jpy,43480.00000000,45015.00000000,40100.00000000,40200.00000000,42818.64599755
2018/04/05,eth_jpy,40340.00000000,41795.00000000,39510.00000000,41060.00000000,40519.67996236
2018/04/06,eth_jpy,41000.00000000,41850.00000000,39550.00000000,39795.00000000,40458.39279801
2018/04/07,eth_jpy,39795.00000000,41470.00000000,39565.00000000,40900.00000000,40533.11668617
2018/04/08,eth_jpy,40900.00000000,43000.00000000,40850.00000000,42705.00000000,41935.63475833
2018/04/09,eth_jpy,42700.00000000,46100.00000000,41700.00000000,42430.00000000,44064.21903792
2018/04/10,eth_jpy,42500.00000000,43390.00000000,41850.00000000,43005.00000000,42846.52375106
2018/04/11,eth_jpy,43000.00000000,45480.00000000,43000.00000000,45075.00000000,44606.51576253
2018/04/12,eth_jpy,45070.00000000,50000.00000000,44555.00000000,49850.00000000,46755.06654858
2018/04/13,eth_jpy,49825.00000000,57485.00000000,48145.00000000,55650.00000000,54011.86223581
2018/04/14,eth_jpy,55695.00000000,56450.00000000,52000.00000000,52945.00000000,53833.03089139
2018/04/15,eth_jpy,52960.00000000,56900.00000000,52945.00000000,56370.00000000,54942.01250804
2018/04/16,eth_jpy,56580.00000000,58500.00000000,53800.00000000,54500.00000000,55967.83548715
2018/04/17,eth_jpy,55035.00000000,55700.00000000,54000.00000000,55230.00000000,54906.55688678
