日付,通貨名,始値,高値,安値,終値,平均値
2018/03/06,bch_jpy,135890.00000000,136835.00000000,129040.00000000,130340.00000000,132209.25198009
2018/03/07,bch_jpy,130705.00000000,130765.00000000,119650.00000000,123250.00000000,125736.69049850
2018/03/08,bch_jpy,122520.00000000,125800.00000000,109800.00000000,114130.00000000,114408.95746735
2018/03/09,bch_jpy,114500.00000000,115875.00000000,100000.00000000,108230.00000000,105635.22171557
2018/03/10,bch_jpy,108335.00000000,116300.00000000,101500.00000000,115600.00000000,111011.85373126
2018/03/11,bch_jpy,116100.00000000,116450.00000000,104000.00000000,113390.00000000,110599.22405802
2018/03/12,bch_jpy,113970.00000000,125000.00000000,112335.00000000,116000.00000000,119321.80946273
2018/03/13,bch_jpy,115560.00000000,117985.00000000,109810.00000000,115350.00000000,112712.49827400
2018/03/14,bch_jpy,115335.00000000,115995.00000000,108100.00000000,109600.00000000,112104.59910679
2018/03/15,bch_jpy,109600.00000000,109705.00000000,93900.00000000,101525.00000000,100391.84695077
2018/03/16,bch_jpy,101505.00000000,104485.00000000,97000.00000000,103920.00000000,100086.63718988
2018/03/17,bch_jpy,103925.00000000,115000.00000000,103040.00000000,104220.00000000,107943.92121937
2018/03/18,bch_jpy,104995.00000000,105000.00000000,92000.00000000,94000.00000000,98781.01342111
2018/03/19,bch_jpy,94000.00000000,110000.00000000,90200.00000000,107995.00000000,99903.88946249
2018/03/20,bch_jpy,107990.00000000,111000.00000000,100500.00000000,107500.00000000,105722.87965417
2018/03/21,bch_jpy,107800.00000000,116500.00000000,107495.00000000,113100.00000000,112921.73334077
2018/03/22,bch_jpy,113335.00000000,114040.00000000,102500.00000000,102500.00000000,108622.61510502
2018/03/23,bch_jpy,102500.00000000,109000.00000000,102000.00000000,105000.00000000,104530.10704790
2018/03/24,bch_jpy,104900.00000000,110005.00000000,104005.00000000,107430.00000000,106817.38576782
2018/03/25,bch_jpy,107300.00000000,108300.00000000,102500.00000000,104000.00000000,104821.51515595
2018/03/26,bch_jpy,104200.00000000,104500.00000000,95700.00000000,97610.00000000,101196.96590725
2018/03/27,bch_jpy,97600.00000000,98995.00000000,93160.00000000,96895.00000000,95846.31117254
2018/03/28,bch_jpy,96895.00000000,98500.00000000,92500.00000000,93000.00000000,93955.88472971
2018/03/29,bch_jpy,93500.00000000,93990.00000000,80100.00000000,80225.00000000,86546.40627735
2018/03/30,bch_jpy,80995.00000000,83450.00000000,72100.00000000,74100.00000000,77327.96403446
2018/03/31,bch_jpy,74000.00000000,78995.00000000,72500.00000000,74405.00000000,75255.45001884
2018/04/01,bch_jpy,74480.00000000,76580.00000000,67910.00000000,68000.00000000,71210.75685619
2018/04/02,bch_jpy,67965.00000000,74000.00000000,67000.00000000,72100.00000000,70775.86443120
2018/04/03,bch_jpy,72200.00000000,77100.00000000,70200.00000000,76000.00000000,73993.16009583
2018/04/04,bch_jpy,75560.00000000,78980.00000000,70050.00000000,70100.00000000,74398.13459194
2018/04/05,bch_jpy,70205.00000000,71045.00000000,67010.00000000,68950.00000000,69275.18352687
2018/04/06,bch_jpy,68500.00000000,70680.00000000,65625.00000000,65990.00000000,68152.15207239
2018/04/07,bch_jpy,65990.00000000,68480.00000000,65300.00000000,67025.00000000,66961.30814955
2018/04/08,bch_jpy,67000.00000000,70700.00000000,67000.00000000,69750.00000000,69322.11475410
2018/04/09,bch_jpy,70000.00000000,73330.00000000,68400.00000000,69000.00000000,70743.05121788
2018/04/10,bch_jpy,69000.00000000,70400.00000000,67640.00000000,69065.00000000,69056.03217160
2018/04/11,bch_jpy,69990.00000000,71195.00000000,69075.00000000,70010.00000000,70374.88856880
2018/04/12,bch_jpy,70010.00000000,77000.00000000,69800.00000000,75000.00000000,73065.39870836
2018/04/13,bch_jpy,75200.00000000,85500.00000000,74370.00000000,82200.00000000,80150.86703155
2018/04/14,bch_jpy,82200.00000000,83885.00000000,78060.00000000,79000.00000000,80672.44761508
2018/04/15,bch_jpy,79500.00000000,85140.00000000,78500.00000000,83350.00000000,81876.07159628
2018/04/16,bch_jpy,83500.00000000,88200.00000000,80300.00000000,81895.00000000,83812.67202258
2018/04/17,bch_jpy,82850.00000000,85300.00000000,81060.00000000,83520.00000000,83313.18284158
2018/04/18,bch_jpy,84000.00000000,91500.00000000,81005.00000000,89570.00000000,86863.40043689
2018/04/19,bch_jpy,89505.00000000,110500.00000000,89000.00000000,102350.00000000,98775.64638118
2018/04/20,bch_jpy,102410.00000000,119860.00000000,101200.00000000,116350.00000000,109570.68921749
2018/04/21,bch_jpy,116055.00000000,128000.00000000,106540.00000000,118505.00000000,119841.24313737
2018/04/22,bch_jpy,118505.00000000,138000.00000000,118505.00000000,138000.00000000,127238.98885771
2018/04/23,bch_jpy,137500.00000000,159000.00000000,129060.00000000,154725.00000000,146678.50933491
2018/04/24,bch_jpy,154705.00000000,174000.00000000,148000.00000000,164510.00000000,164764.95033307
2018/04/25,bch_jpy,165000.00000000,166510.00000000,131000.00000000,134090.00000000,149661.92104000
2018/04/26,bch_jpy,134090.00000000,154000.00000000,134005.00000000,145860.00000000,145611.18110362
2018/04/27,bch_jpy,146000.00000000,157000.00000000,144000.00000000,153000.00000000,151851.39279595
2018/04/28,bch_jpy,153195.00000000,154900.00000000,145000.00000000,151500.00000000,150483.12775208
2018/04/29,bch_jpy,151800.00000000,160000.00000000,150005.00000000,152500.00000000,154391.92545029
2018/04/30,bch_jpy,152995.00000000,157300.00000000,151800.00000000,152390.00000000,154815.43545083
2018/05/01,bch_jpy,152390.00000000,154000.00000000,140005.00000000,142900.00000000,145080.98969794
2018/05/02,bch_jpy,142035.00000000,161000.00000000,142035.00000000,156000.00000000,153754.42384243
2018/05/03,bch_jpy,156895.00000000,168260.00000000,155800.00000000,163500.00000000,162562.60995068
2018/05/04,bch_jpy,163405.00000000,166545.00000000,161000.00000000,163500.00000000,163168.61027734
2018/05/05,bch_jpy,163500.00000000,188975.00000000,162585.00000000,185850.00000000,176981.84328501
2018/05/06,bch_jpy,185555.00000000,200500.00000000,180000.00000000,187110.00000000,190395.06090287
2018/05/07,bch_jpy,187285.00000000,195595.00000000,169995.00000000,174015.00000000,180844.79332306
2018/05/08,bch_jpy,174015.00000000,184090.00000000,168000.00000000,171295.00000000,176202.29513007
2018/05/09,bch_jpy,171000.00000000,176215.00000000,158000.00000000,170970.00000000,168276.56752384
2018/05/10,bch_jpy,171000.00000000,182500.00000000,170975.00000000,178400.00000000,178473.85110475
2018/05/11,bch_jpy,178240.00000000,179020.00000000,143000.00000000,157700.00000000,158575.81794603
2018/05/12,bch_jpy,157700.00000000,165950.00000000,140000.00000000,155495.00000000,152409.00603066
2018/05/13,bch_jpy,155985.00000000,162010.00000000,148150.00000000,160705.00000000,157224.72535940
2018/05/14,bch_jpy,161000.00000000,167000.00000000,147105.00000000,158000.00000000,156245.04122404
2018/05/15,bch_jpy,158000.00000000,163450.00000000,152660.00000000,153700.00000000,156870.07535726
2018/05/16,bch_jpy,154000.00000000,158800.00000000,136800.00000000,141155.00000000,144191.10815162
2018/05/17,bch_jpy,141210.00000000,147900.00000000,139030.00000000,142000.00000000,142768.41707230
2018/05/18,bch_jpy,142500.00000000,142500.00000000,122100.00000000,124100.00000000,132036.37049217
2018/05/19,bch_jpy,124840.00000000,133000.00000000,123005.00000000,130900.00000000,129615.72067387
2018/05/20,bch_jpy,130900.00000000,138900.00000000,128100.00000000,135305.00000000,134821.28791697
2018/05/21,bch_jpy,135305.00000000,145700.00000000,135305.00000000,136500.00000000,141440.59863323
2018/05/22,bch_jpy,136520.00000000,138400.00000000,128500.00000000,130910.00000000,132663.05281694
2018/05/23,bch_jpy,130965.00000000,131895.00000000,112000.00000000,116700.00000000,120499.56738762
2018/05/24,bch_jpy,116270.00000000,117450.00000000,105475.00000000,110805.00000000,111394.33886574
2018/05/25,bch_jpy,110800.00000000,119110.00000000,110500.00000000,112600.00000000,114482.05073433
2018/05/26,bch_jpy,112605.00000000,115200.00000000,109130.00000000,113595.00000000,111978.24397741
2018/05/27,bch_jpy,113600.00000000,114490.00000000,107800.00000000,109645.00000000,110110.25404838
2018/05/28,bch_jpy,109800.00000000,110540.00000000,99500.00000000,101700.00000000,105044.82337289
2018/05/29,bch_jpy,101695.00000000,111750.00000000,95000.00000000,106105.00000000,102364.83549417
2018/05/30,bch_jpy,106700.00000000,112500.00000000,104120.00000000,107040.00000000,109013.99059592
2018/05/31,bch_jpy,107040.00000000,112450.00000000,104055.00000000,109280.00000000,108473.02831716
2018/06/01,bch_jpy,109300.00000000,110800.00000000,107900.00000000,108600.00000000,109284.90138767
2018/06/02,bch_jpy,108500.00000000,114390.00000000,107500.00000000,114300.00000000,110728.83615227
2018/06/03,bch_jpy,114300.00000000,132000.00000000,113900.00000000,129300.00000000,123431.85556013
2018/06/04,bch_jpy,129140.00000000,133000.00000000,119210.00000000,119575.00000000,126847.01546909
2018/06/05,bch_jpy,119575.00000000,124840.00000000,115620.00000000,117845.00000000,119461.22436171
2018/06/06,bch_jpy,117890.00000000,127260.00000000,117845.00000000,125900.00000000,124433.83611849
2018/06/07,bch_jpy,125900.00000000,129560.00000000,121800.00000000,124500.00000000,126216.68636175
2018/06/08,bch_jpy,124500.00000000,126050.00000000,119200.00000000,123615.00000000,123129.21522411
2018/06/09,bch_jpy,123620.00000000,125000.00000000,121000.00000000,122315.00000000,123524.08831719
2018/06/10,bch_jpy,122315.00000000,123200.00000000,109540.00000000,112600.00000000,114990.76514171
2018/06/11,bch_jpy,112570.00000000,113490.00000000,99500.00000000,101675.00000000,104317.98755516
2018/06/12,bch_jpy,101705.00000000,108340.00000000,100240.00000000,102995.00000000,105030.81132171
2018/06/13,bch_jpy,102995.00000000,102995.00000000,92130.00000000,93005.00000000,96413.05987564
2018/06/14,bch_jpy,93005.00000000,98590.00000000,90130.00000000,94850.00000000,94124.84439930
2018/06/15,bch_jpy,94360.00000000,102500.00000000,92900.00000000,96995.00000000,97840.64121063
2018/06/16,bch_jpy,97300.00000000,98050.00000000,93600.00000000,94000.00000000,94986.73805894
2018/06/17,bch_jpy,94070.00000000,95995.00000000,93010.00000000,94500.00000000,94819.39841022
2018/06/18,bch_jpy,95000.00000000,95230.00000000,92010.00000000,92900.00000000,93552.06628398
2018/06/19,bch_jpy,92900.00000000,102490.00000000,92900.00000000,99010.00000000,98275.67367925
2018/06/20,bch_jpy,99005.00000000,100700.00000000,95600.00000000,98250.00000000,97571.87282847
2018/06/21,bch_jpy,98400.00000000,101000.00000000,96800.00000000,97000.00000000,98949.55207477
2018/06/22,bch_jpy,97290.00000000,97290.00000000,83400.00000000,86515.00000000,90389.89640343
2018/06/23,bch_jpy,86515.00000000,86945.00000000,82000.00000000,84405.00000000,84681.29326093
2018/06/24,bch_jpy,84400.00000000,85805.00000000,74510.00000000,78000.00000000,78538.68212373
2018/06/25,bch_jpy,77650.00000000,85890.00000000,74555.00000000,84010.00000000,81941.78189188
2018/06/26,bch_jpy,84010.00000000,84375.00000000,79210.00000000,81935.00000000,82420.91361782
2018/06/27,bch_jpy,81880.00000000,81880.00000000,76000.00000000,77110.00000000,77994.15423341
2018/06/28,bch_jpy,77000.00000000,79500.00000000,76630.00000000,77200.00000000,77925.96306010
2018/06/29,bch_jpy,77700.00000000,77700.00000000,71700.00000000,73450.00000000,73170.12577693
2018/06/30,bch_jpy,73450.00000000,84890.00000000,72100.00000000,81800.00000000,80990.74724463
2018/07/01,bch_jpy,81810.00000000,83950.00000000,80000.00000000,80210.00000000,81550.00943205
2018/07/02,bch_jpy,80210.00000000,88000.00000000,79000.00000000,87700.00000000,82879.95559367
2018/07/03,bch_jpy,87700.00000000,91995.00000000,85200.00000000,85595.00000000,88033.67779685
2018/07/04,bch_jpy,85595.00000000,89490.00000000,81010.00000000,87385.00000000,85103.73626137
2018/07/05,bch_jpy,87300.00000000,87820.00000000,82800.00000000,82805.00000000,85011.07232947
2018/07/06,bch_jpy,82800.00000000,83610.00000000,77395.00000000,80050.00000000,80769.80543886
2018/07/07,bch_jpy,80050.00000000,81875.00000000,78900.00000000,80350.00000000,80379.03959982
2018/07/08,bch_jpy,80350.00000000,85600.00000000,79805.00000000,83795.00000000,83529.86595354
2018/07/09,bch_jpy,83990.00000000,85590.00000000,81240.00000000,83705.00000000,83468.18977764
2018/07/10,bch_jpy,83695.00000000,83735.00000000,77300.00000000,78700.00000000,79699.18930765
2018/07/11,bch_jpy,78125.00000000,79770.00000000,76000.00000000,77685.00000000,77381.53314106
2018/07/12,bch_jpy,76995.00000000,79305.00000000,76000.00000000,76930.00000000,77391.69331800
2018/07/13,bch_jpy,76385.00000000,79340.00000000,74520.00000000,78345.00000000,77660.74234017
